MUNICÍPIO,ESCOLA,LOCALIZAÇÃO,CÓDIGO DO INEP,TIPO,
Campo Grande,INSTITUICAO DE ENSINO LATINO AMERICANO,URBANA,50008030,PARTICULAR,
Campo Grande,INSTITUICAO MAXIMA DE EDUCACAO PRE-ESCOLAR E 1º GRAU,URBANA,50031104,PARTICULAR,
Campo Grande,INSTITUTO BATISTA DE EDUCACAO ERILASIO NOGUEIRA,URBANA,50029940,PARTICULAR,
Campo Grande,INSTITUTO DA CRIANCA E DO ADOLESCENTE PRIMEIROS PASSOS,URBANA,50033735,PARTICULAR,
Campo Grande,INSTITUTO DE EDUC HARMONIA UNIDADE II,URBANA,50022890,PARTICULAR,
Campo Grande,INSTITUTO DE EDUCACAO COOPERAR LTDA,URBANA,50033930,PARTICULAR,
Campo Grande,INSTITUTO DE EDUCACAO HARMONIA - UNID I,URBANA,50009095,PARTICULAR,
Campo Grande,INSTITUTO DE EDUCACAO PARALELLUS,URBANA,50081802,PARTICULAR,
Campo Grande,INSTITUTO DE ENSINO E PESQUISA EDUCARTE,URBANA,50007769,PARTICULAR,
Campo Grande,INSTITUTO EDUCACIONAL PAULO FREIRE,URBANA,50005260,PARTICULAR,
Campo Grande,INSTITUTO EDUCAP,URBANA,50007505,PARTICULAR,
Campo Grande,INSTITUTO JOAO BATISTA DE ENSINO,URBANA,50027239,PARTICULAR,
Campo Grande,INSTITUTO LIBERA LIMES,URBANA,50031813,PARTICULAR,
Campo Grande,INSTITUTO MAXIMA DE EDUCACAO LTDA - ME,URBANA,50009087,PARTICULAR,
Campo Grande,LAR CRECHE NOSSA SENHORA DO PERPETUO SOCORRO,URBANA,50030604,PARTICULAR,
Campo Grande,LAR NOSSA SENHORA APARECIDA,URBANA,50026739,PARTICULAR,
Campo Grande,LE IRDAK,URBANA,50033875,PARTICULAR,
Campo Grande,MAPLE BEAR,URBANA,50033743,PARTICULAR,
Campo Grande,MATERNA BERCARIO LTDA EPP,URBANA,50033921,PARTICULAR,
Campo Grande,METROPOLITANO INST DE EDUC E CULTURA,URBANA,50007742,PARTICULAR,
Campo Grande,NOVAESCOLA,URBANA,50060015,PARTICULAR,
Campo Grande,O CASULO ESTABELECIMENTO DE ENSINO,URBANA,50007734,PARTICULAR,
Campo Grande,OBRAS SOCIAIS E COMUNITARIA DO AERO RANCHO,URBANA,50027360,PARTICULAR,
Campo Grande,OPCAO - CENTRO DE EDUCACAO INFANTIL,URBANA,50057804,PARTICULAR,
Campo Grande,RECRIANDO INSTITUTO DE EIEF,URBANA,50026321,PARTICULAR,
Campo Grande,SESC ESCOLA HORTO,URBANA,50028154,PARTICULAR,
Campo Grande,SIEDEM - SIST INDIV ENS DESENV EMOCIONAL,URBANA,50026755,PARTICULAR,
Campo Grande,SOCIEDADE ASSISTENCIAL MEIMEI CASA DA CRIANCA MEIMEI,URBANA,50023446,PARTICULAR,
